Source,Target,Type
AumaWl0TNBo,-N5eucPMTTc,Undirected
AumaWl0TNBo,sLJdBmAeB_U,Undirected
AumaWl0TNBo,iDXlWTRyxgE,Undirected
AumaWl0TNBo,FmYMq9EHhdE,Undirected
AumaWl0TNBo,tSjvx_c4meE,Undirected
AumaWl0TNBo,IVRVXYCrr14,Undirected
AumaWl0TNBo,NWdc7PyZNLA,Undirected
AumaWl0TNBo,7DLKv39MLbg,Undirected
AumaWl0TNBo,-XjayddbksQ,Undirected
AumaWl0TNBo,6p-QzY5bxJ0,Undirected
AumaWl0TNBo,dgW5kpeSB1A,Undirected
AumaWl0TNBo,zN_DJ3c2N28,Undirected
AumaWl0TNBo,tpyQLIpv4Yk,Undirected
AumaWl0TNBo,om0h_r2TAmw,Undirected
AumaWl0TNBo,sottGW1p5os,Undirected
AumaWl0TNBo,XymR5UCxSfA,Undirected
AumaWl0TNBo,jDvKFN6aYsE,Undirected
AumaWl0TNBo,xxWXD073Ql0,Undirected
AumaWl0TNBo,MjdpR-TY6QU,Undirected
AumaWl0TNBo,Xc4xYacTu-E,Undirected
AumaWl0TNBo,cJ1zhq3yNBM,Undirected
AumaWl0TNBo,SCnVbXlC1Ds,Undirected
AumaWl0TNBo,VsYmwBOYfW8,Undirected
AumaWl0TNBo,3s1rvMFUweQ,Undirected
AumaWl0TNBo,X9VlCV1ZflQ,Undirected
AumaWl0TNBo,ROzC9ZySGos,Undirected
AumaWl0TNBo,j7WlcSwe8Ws,Undirected
AumaWl0TNBo,28_tNFnMrTk,Undirected
AumaWl0TNBo,Y9PYlF43i3g,Undirected
AumaWl0TNBo,hSXf6ozQEwo,Undirected
AumaWl0TNBo,r1afdZk0qcI,Undirected
AumaWl0TNBo,n1rblnOWhmM,Undirected
AumaWl0TNBo,3iXwXYflCSI,Undirected
AumaWl0TNBo,IY-M93e2lok,Undirected
AumaWl0TNBo,510KQ_LXGww,Undirected
AumaWl0TNBo,sF1l7v3XY6I,Undirected
AumaWl0TNBo,mwpHSMv1pI4,Undirected
AumaWl0TNBo,F6rBIWN8SsM,Undirected
AumaWl0TNBo,oSS6kGWNEeA,Undirected
AumaWl0TNBo,oddXT5uaRb8,Undirected
AumaWl0TNBo,0oXu0XfXYYE,Undirected
AumaWl0TNBo,FVwR2zK_Ahs,Undirected
AumaWl0TNBo,FHl0nIdbiLA,Undirected
AumaWl0TNBo,qEEtzzi1EII,Undirected
AumaWl0TNBo,ssbOzbL1SJQ,Undirected
AumaWl0TNBo,FUzs2oMEs8w,Undirected
AumaWl0TNBo,CR9zYgr84QY,Undirected
AumaWl0TNBo,YInRqgNMLBc,Undirected
