Source,Target,Type,Weight
AumaWl0TNBo,-N5eucPMTTc,Undirected,8
AumaWl0TNBo,sLJdBmAeB_U,Undirected,1
AumaWl0TNBo,iDXlWTRyxgE,Undirected,1
AumaWl0TNBo,FmYMq9EHhdE,Undirected,2
AumaWl0TNBo,tSjvx_c4meE,Undirected,1
AumaWl0TNBo,IVRVXYCrr14,Undirected,3
AumaWl0TNBo,NWdc7PyZNLA,Undirected,1
AumaWl0TNBo,7DLKv39MLbg,Undirected,3
AumaWl0TNBo,-XjayddbksQ,Undirected,1
AumaWl0TNBo,6p-QzY5bxJ0,Undirected,1
AumaWl0TNBo,dgW5kpeSB1A,Undirected,1
AumaWl0TNBo,zN_DJ3c2N28,Undirected,1
AumaWl0TNBo,tpyQLIpv4Yk,Undirected,2
AumaWl0TNBo,om0h_r2TAmw,Undirected,1
AumaWl0TNBo,sottGW1p5os,Undirected,1
AumaWl0TNBo,XymR5UCxSfA,Undirected,25
AumaWl0TNBo,jDvKFN6aYsE,Undirected,2
AumaWl0TNBo,xxWXD073Ql0,Undirected,1
AumaWl0TNBo,MjdpR-TY6QU,Undirected,1
AumaWl0TNBo,Xc4xYacTu-E,Undirected,1
AumaWl0TNBo,cJ1zhq3yNBM,Undirected,1
AumaWl0TNBo,SCnVbXlC1Ds,Undirected,1
AumaWl0TNBo,VsYmwBOYfW8,Undirected,1
AumaWl0TNBo,3s1rvMFUweQ,Undirected,1
AumaWl0TNBo,X9VlCV1ZflQ,Undirected,1
AumaWl0TNBo,ROzC9ZySGos,Undirected,1
AumaWl0TNBo,j7WlcSwe8Ws,Undirected,1
AumaWl0TNBo,28_tNFnMrTk,Undirected,1
AumaWl0TNBo,Y9PYlF43i3g,Undirected,1
AumaWl0TNBo,hSXf6ozQEwo,Undirected,1
AumaWl0TNBo,r1afdZk0qcI,Undirected,1
AumaWl0TNBo,n1rblnOWhmM,Undirected,2
AumaWl0TNBo,3iXwXYflCSI,Undirected,3
AumaWl0TNBo,IY-M93e2lok,Undirected,1
AumaWl0TNBo,510KQ_LXGww,Undirected,5
AumaWl0TNBo,sF1l7v3XY6I,Undirected,2
AumaWl0TNBo,mwpHSMv1pI4,Undirected,3
AumaWl0TNBo,F6rBIWN8SsM,Undirected,1
AumaWl0TNBo,oSS6kGWNEeA,Undirected,1
AumaWl0TNBo,oddXT5uaRb8,Undirected,1
AumaWl0TNBo,0oXu0XfXYYE,Undirected,5
AumaWl0TNBo,FVwR2zK_Ahs,Undirected,2
AumaWl0TNBo,FHl0nIdbiLA,Undirected,1
AumaWl0TNBo,qEEtzzi1EII,Undirected,1
AumaWl0TNBo,ssbOzbL1SJQ,Undirected,1
AumaWl0TNBo,FUzs2oMEs8w,Undirected,1
AumaWl0TNBo,CR9zYgr84QY,Undirected,1
AumaWl0TNBo,YInRqgNMLBc,Undirected,1
AumaWl0TNBo,sECcOTO8Ij4,Undirected,1
AumaWl0TNBo,F62QpaPWXDI,Undirected,1
